mjd,V,err_V,B,err_B,U,err_U,i,err_i,UVW2,err_UVW2,UVM2,err_UVM2
57991.351851851854,inf,inf,22.8599975630971,963.7220792602959,21.309820934065957,842.9407416773812,23.609772571177178,1889.2299073147449,21.795694774531388,1021.6587536875694,21.455512826394504,998.5763053970398
57994.41358024691,inf,inf,23.786159831875295,2261.60838002474,22.2365672686699,1979.2309745014877,24.53830234823293,4443.210639700098,22.724814933756534,2404.1111262735703,22.3844505765351,2349.4001905407877
57997.47530864197,inf,inf,24.76779084279899,5585.601488416413,23.218608104301538,4890.046553125735,25.521596907101795,10990.431954781781,23.708525292597102,5948.929255709972,23.36803242543093,5812.860054723761
58000.53703703704,inf,inf,25.804615491886462,14514.424873125185,24.255710264560317,12710.244072339765,26.559549112993306,28588.78183831059,24.74675978191435,15478.63367418698,24.406179650948086,15123.377075232698
58003.5987654321,inf,inf,26.896381997793398,39674.04104022906,25.347658543834342,34748.27159436879,27.652054661861307,78198.40072172148,25.839450548890582,42345.66256513283,25.498813151933426,41371.58740146688
58006.66049382716,inf,inf,28.042862962322378,114050.92833877492,26.494254874263493,99901.43815825386,28.799004870820568,224894.04450758753,26.986518441225876,121796.85940738636,26.645844655253434,118991.18421441759
58009.72222222222,inf,inf,29.243855075998933,344743.16955702926,27.695318020642326,301993.08519465115,30.000285982189332,679971.0133605087,28.187872062953115,368279.4947838421,27.847175854610743,359788.4906651506
58012.78395061728,inf,inf,30.4991780400431,1095531.4657113003,28.950683454105985,959716.9658730519,31.25578176146828,2161168.9095465336,29.443411213612105,1170558.7049403912,29.1027015930484,1143556.3291625662
58015.845679012345,inf,inf,31.80867306954432,3659509.4048900045,30.26020315772067,3205907.9891841,32.56537720363034,7219828.609587177,30.753031860272152,3910582.546653322,30.41231444526705,3820346.044277122
58018.90740740741,inf,inf,33.17220117548887,12847958.052573884,31.62374520156357,11255579.798004827,33.92896203371431,25348999.339025516,32.11663092992393,13730333.482052365,31.775909111305257,13413452.30022759
58021.96913580247,inf,inf,34.58964069519605,47403446.433207475,33.04119237967524,41528547.59939806,35.346432722372256,93529603.99386802,33.53410944337864,50660852.17769434,33.19338520490962,49491544.43601338
58025.03086419753,inf,inf,36.06087110302952,183781622.36575958,34.512426882270326,161005437.59514657,36.81767979575849,362616803.212281,35.00536070067719,196414250.37069446,34.66463516831126,191880566.50613132
